0|95|3
95|1|3
1|2|3
2|3|3
3|4|3
4|5|3
5|43|3
43|6|3
6|7|3
7|27|3
27|8|3
8|60|3
60|9|3
9|10|3
10|11|3
11|12|3
12|13|3
13|14|3
14|75|3
15|16|2
16|90|2
90|17|2
17|18|2
18|19|2
19|20|2
20|21|2
21|22|2
22|23|2
23|24|2
24|25|2
25|26|2
26|27|2
27|28|2
28|29|2
29|30|2
30|31|2
31|32|2
32|33|2
33|34|2
34|35|2
35|36|2
36|37|2
55|54|2
54|53|2
53|52|2
52|51|2
51|50|2
50|49|2
49|48|2
48|47|2
47|46|2
46|45|2
45|44|2
44|43|2
43|42|2
42|23|2
23|41|2
41|40|2
40|66|2
66|39|2
39|83|2
83|38|2
85|56|4
56|57|4
57|69|4
69|58|4
58|59|4
59|60|4
60|61|4
61|62|4
62|63|4
75|74|2
74|73|2
73|72|2
72|71|2
71|70|2
70|69|2
69|68|2
68|67|2
67|66|2
66|65|2
65|81|2
81|64|2
86|76|4
76|77|4
77|78|4
78|79|4
79|80|4
80|81|4
81|82|4
82|83|4
83|84|4
84|85|4
86|87|3
87|88|3
88|89|3
89|90|3
90|91|3
91|92|3
92|93|4
93|94|4
94|95|4
95|96|4
96|97|4
97|98|4
98|99|4
120|24|4
24|100|4
100|6|4
6|101|4
101|102|4
102|29|4
29|103|4
103|63|4
63|104|4
104|105|4
105|106|4
106|107|4
107|108|4
108|121|5
121|109|5
109|110|4
110|111|4
111|112|5
95|113|3
113|114|3
114|46|3
46|115|3
115|29|3
29|62|3
62|116|3
116|117|3
117|118|3
118|119|3
119|75|4
